DateTime,Open,High,Low,Close,Volume,EMA_Fast,EMA_Slow,Filtered_Price,ZScore,ATR,EMA_H4,Sentiment,Signal,Entry_Price,Stop_Loss,Take_Profit
2024-01-01 00:00:00,2001.2887769070765,2012.074753168562,1999.3473877119818,2000.0,7582,2000.0,2000.0,2000.0,,12.727365456580173,2014.379307963789,0,0,,,
2024-01-01 00:15:00,2002.9339904484605,2008.2492166198062,2000.4095794454079,2002.5001017932689,9350,2000.2381049326923,2000.0980432075794,100.12500508966346,,12.130278945010316,2014.379307963789,0,0,,,
2024-01-01 00:30:00,2004.3896993467986,2010.5408766100288,2002.332937498047,2003.0801168234623,7013,2000.5087727318132,2000.2149872709474,5.035251005992848,,11.607300300606525,2014.379307963789,0,0,,,
2024-01-01 00:45:00,2007.0698703338526,2007.4119347970068,1996.871267256514,2006.0217874591121,2350,2001.0338217534606,2000.4427049253852,0.3988460820821388,,11.465082599258013,2014.379307963789,0,0,,,
2024-01-01 01:00:00,2009.6936686891263,2011.9492397907727,2010.9228959705142,2011.5694078954496,8684,2002.0372109098407,2000.8790462183288,0.2973233259209792,,10.726731896911685,2014.379307963789,0,0,,,
2024-01-01 01:15:00,2015.5725312105294,2015.0992928748683,2006.6764067339757,2011.7990880920142,8057,2002.9669134986193,2001.307283154552,0.02635017612428783,,10.41955246277581,2014.379307963789,0,0,,,
2024-01-01 01:30:00,2009.0341582201452,2014.8057689954824,2011.0773200790002,2012.0353473943626,8985,2003.8305738696426,2001.727991556113,0.013130473923627052,,9.527405323269994,2014.379307963789,0,0,,,
2024-01-01 01:45:00,2017.9396519225297,2022.060425998725,2015.6406139384833,2017.717859062203,6875,2005.1531724594104,2002.3550451838028,0.2847821070881992,,9.593761760748968,2014.379307963789,0,0,,,
2024-01-01 02:00:00,2024.3896197784395,2029.2851129103205,2020.3176022890927,2020.9165140729074,8280,2006.6544430892673,2003.0829459245522,0.17417185588963094,,9.85689403906479,2014.379307963789,0,0,,,
2024-01-01 02:15:00,2021.5638073441155,2028.438941099022,2019.0433580282574,2020.3804931762447,4030,2007.9616859546936,2003.761281110893,-0.018092452038649755,,9.795385909958096,2014.379307963789,0,0,,,
2024-01-01 02:30:00,2024.566146466428,2024.6967018246403,2022.2358556178929,2022.8937073283255,1675,2009.3837832283727,2004.511572335106,0.12475608500210456,,9.06482894174976,2014.379307963789,0,0,,,
2024-01-01 02:45:00,2020.265031342115,2025.822874280915,2015.11954949801,2022.3713596404552,1368,2010.6206952676189,2005.211956151002,-0.019879580143401656,,9.283295053903782,2014.379307963789,0,0,,,
2024-01-01 03:00:00,2022.5486261321687,2025.963043829549,2018.6949744488236,2021.854533216975,7770,2011.690584596129,2005.8646062320206,-0.02683530018118745,,9.014598297479992,2014.379307963789,0,0,,,
2024-01-01 03:15:00,2023.399708839715,2024.9898205057912,2022.8945893856912,2023.4729141651048,4360,2012.8127112217455,2006.5551281117496,0.07957728239744029,,8.230690162991491,2014.379307963789,0,0,,,
2024-01-01 03:30:00,2016.3559862182788,2024.8571840055597,2014.0732520222907,2018.6160745566076,2471,2013.3654124917325,2007.028106403705,-0.23886311630499224,,8.571122405695158,2014.379307963789,0,0,,,
2024-01-01 03:45:00,2016.109450942739,2021.8768781107528,2013.7364999857007,2014.379307963789,6351,2013.4619739652617,2007.3163888178258,-0.22378148545618615,,8.51368983494276,2014.379307963789,0,0,,,
2024-01-01 04:00:00,2012.0399693514162,2015.9066640955527,2008.095494621832,2013.6789428287175,2348,2013.482637666543,2007.5659007398217,-0.046207331026380416,,8.420020453446504,2014.3532664862723,0,0,,,
2024-01-01 04:15:00,2010.2379687109667,2019.28980788071,2005.7411518010863,2011.6398179753037,4016,2013.3071310292821,2007.7256622000368,-0.10426660922200881,,9.103838536936797,2014.3532664862723,0,0,,,
2024-01-01 04:30:00,2014.4730694271832,2015.4482805158689,2002.9498752867637,2013.6079107830135,1669,2013.3357767201137,2007.9563386150558,0.09319130992439568,,9.556447429225914,2014.3532664862723,0,0,,,
2024-01-01 04:45:00,2011.6083314858492,2014.314442436002,2011.0332844735206,2011.8948223771392,6727,2013.1985429731637,2008.110788958667,-0.08099485479749546,-0.23599037959598804,8.71974216699333,2014.3532664862723,0,0,,,
2024-01-01 05:00:00,2009.0296381903763,2010.6582773794812,2002.984943090777,2008.6910621430643,2254,2012.769259084583,2008.1335447698198,-0.1642377544436272,-0.24386560060565152,8.745093782909176,2014.3532664862723,0,0,,,
2024-01-01 05:15:00,2013.7489554440806,2019.9119645469098,2010.4127189892022,2014.1579547616202,3008,2012.9015158157295,2008.3697961420473,0.2651327432056178,-0.02508243827738065,9.075201599034013,2014.3532664862723,0,0,,,
2024-01-01 05:30:00,2017.3265040015108,2014.9108235669555,2008.0322508315635,2014.5003823145028,1826,2013.0537888156127,2008.6102112860654,0.03037801480440976,-0.07356676954008452,8.782317750548415,2014.3532664862723,0,0,,,
2024-01-01 05:45:00,2013.8734377727603,2019.4114112800248,2010.599064279741,2015.7234990672375,3311,2013.3080469348151,2008.8891637480722,0.06267473837696116,0.2362401138295882,8.786321650513134,2014.3532664862723,0,0,,,
2024-01-01 06:00:00,2011.53185853934,2021.3992410704736,2010.1024629991707,2012.461476099752,9641,2013.2274211409995,2009.0292544285303,-0.15996741145543183,-1.129111881944449,9.121049173285106,2014.3532664862723,0,0,,,
2024-01-01 06:15:00,2012.8391540185412,2013.998095267869,2006.802088331546,2011.8768109033826,9740,2013.0987915945598,2009.140923309897,-0.03723163039123847,-0.25934998602420667,8.864376875023506,2014.3532664862723,0,0,,,
2024-01-01 06:30:00,2011.2914343105542,2017.3054728822638,2010.444479483453,2013.2672699778363,2634,2013.114837154872,2009.302740826287,0.06766137220312203,0.4429568580225683,8.597259078195133,2014.3532664862723,0,0,,,
